; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
   9.57306 ,   46.13222 , "Geminiani S.r.l. Cartolobreia(Morbegno)SO->+390342611365"
   9.72972 ,   45.68722 , "Gierre Di Gualandris Rita & C. S.n.c.(Seriate)BG->+39035290172"
   9.77139 ,   45.75222 , "Rossini Felice Per Confezioni(Nembro)BG->+39035521728"
   9.87276 ,   46.16804 , "Auxmodel Articoli Di(Sondrio)SO->+390342512239"
   9.88839 ,   45.59530 , "Centro Hobby Model(Palazzolo Sull'oglio)BS->+390307401824"
   9.92694 ,   45.53694 , "Fuorigiri(Chiari)BS->+390307009658"
   9.92777 ,   45.53862 , "M.c. Di Canuti Andrea(Chiari)BS->+390307012150"
   9.99381 ,   45.58325 , "Teknocar Di Deiuri Gianni Marmitte Per(Erbusco)BS->+390307709259"
  10.08222 ,   45.62389 , "Nova Rossi Di Rossi Cesare(Monticelli Brusati)BS->+390306850314"
  10.08801 ,   45.27038 , "Model Gio Di Strina Giovanni(Pontevico)BS->+390309930370"
  10.09528 ,   45.82917 , "Logistic Sport S.r.l. Campionatur(Costa Volpino)BG->+39035988292"
  10.14278 ,   45.86361 , "Confezioni Sport 56 Di Delvecchio Duilio(Rogno)BG->+39035967624"
  10.14610 ,   45.35373 , "Trattori E Motori Di Noci Giosue Enri(Manerbio)BS->+390309380833"
  10.14639 ,   45.49722 , "Romano Giacomo Giocattoli(Brescia)BS->+3903044232"
  10.21815 ,   45.53351 , "Albert Model Di Albertini L. & C. s.n.c(Brescia)BS->+39030296416"
  10.41056 ,   45.22056 , "Asola Model Statico Dinamico(Asola)MN->+390376720612"
  10.56917 ,   45.45917 , "Garda Model(Desenzano Del Garda)BS->+390309119161"
  10.57194 ,   45.32667 , "Grp Gandini Racing Production Srl T(Guidizzolo)MN->+390376840335"
  10.65306 ,   45.27944 , "A.t.s. Srl Produzione Articoli Per(Cerlongo)MN->+390376607404"
  10.79611 ,   45.21056 , "Mantua Model Aereonavale(Porto Mantovano)MN->+390376398651"
  10.80139 ,   45.23806 , "Mantua Model Aeronavale(Roverbella)MN->+390376697088"
  10.80694 ,   45.76472 , "Lorenzi(Malcesine)VR->+390456570243"
  10.85073 ,   45.46746 , "Hobby Point S.a.s. Stati(San Pietro In Cariano)VR->+390456702887"
  10.97813 ,   45.44246 , "Falleni Adriano Ferroviario(Verona)VR->+39045591834"
  10.99111 ,   45.43750 , "Model Toys Giocattoli(Verona)VR->+39045594084"
  11.04222 ,   45.38111 , "Beltramini Quirino Rappr(San Giovanni Lupatoto)VR->+390458751700"
  11.05944 ,   45.92778 , "Arbetti Adriano Ed Elettronica(Pomarolo)TN->+390464412216"
  11.08444 ,   45.41667 , "Micro Macro S.n.c.(San Martino Buon Albergo)VR->+39045994554"
  11.11250 ,   46.09250 , "Scorpio s.r.l. Commercio Produzione(Trento)TN->+390461823099"
  11.11806 ,   46.08639 , "Punto Model Giocattoli(Trento)TN->+390461421120"
  11.12306 ,   46.06889 , "Italo Di Bertoluzza Alberto Confezioni(Trento)TN->+390461982269"
  11.15974 ,   46.67075 , "Bimbo Giocattoli(Merano)BZ->+390473237371"
  13.50944 ,   37.29333 , "Non Solo S.a.s. Di Domenico Do(Porto Empedocle)AG->+390922635759"
  13.85028 ,   37.35528 , "Lalomia Adriano Hobbistica(Canicatti')AG->+390922830484"
  14.05840 ,   37.49020 , "Primavera Snc Giocattoli E(Caltanissetta)CL->+39093425766"
